YEAR,FERCUM,IRCUM,WRR14,Acc_TMAX,Acc_TMIN,Acc_TAVG,Acc_RAIN
1981,180.0,0.0,4569.1,4299.4,2975.7,3637.55,387.0
1982,180.0,0.0,9839.6,4054.6,2845.3,3449.95,544.3000000000001
1983,180.0,0.0,8907.5,4109.0,2947.7,3528.35,486.6
1984,180.0,0.0,10037.0,4250.8,2987.8,3619.3,447.3
1985,180.0,0.0,8199.1,4328.2,2999.7,3663.95,302.6
1986,180.0,0.0,9774.8,4214.8,2932.9,3573.85,372.90000000000003
1987,180.0,0.0,7789.9,4120.3,2879.9,3500.1,563.8000000000001
1988,180.0,0.0,6308.1,4400.1,2999.2,3699.65,260.40000000000003
1989,180.0,0.0,8639.5,4125.0,2912.6,3518.8,711.7
1990,180.0,0.0,8639.5,4360.1,2949.6,3654.85,333.1
1991,180.0,0.0,8455.0,4107.2,2931.9,3519.55,350.7
1992,180.0,0.0,8455.0,4266.5,2967.3,3616.9,388.6
1993,180.0,0.0,9596.2,4058.8,2898.2,3478.5,440.70000000000005
1994,180.0,0.0,5554.4,4422.0,3059.4,3740.7,306.70000000000005
1995,180.0,0.0,9993.5,4224.8,2970.1,3597.45,372.1
1996,180.0,0.0,7045.5,4105.7,2899.2,3502.45,252.10000000000002
1997,180.0,0.0,8187.7,4305.0,2892.3,3598.65,309.40000000000003
1998,180.0,0.0,10270.0,4404.6,3122.2,3763.4,577.0
1999,180.0,0.0,5673.8,4216.9,2943.2,3580.05,396.00000000000006
2000,180.0,0.0,6241.4,4279.1,3014.0,3646.55,442.1
2001,180.0,0.0,2518.5,4384.4,2933.9,3659.15,221.1
2002,180.0,0.0,8688.0,4313.9,2950.4,3632.15,339.6
2003,180.0,0.0,8688.0,4272.3,3020.0,3646.15,388.0
2004,180.0,0.0,2786.1,4341.6,2939.4,3640.5,266.0
2005,180.0,0.0,10149.0,4287.6,3009.6,3648.6,519.9
2006,180.0,0.0,10149.0,4665.9,3094.8,3880.35,205.4
2007,180.0,0.0,8942.2,4407.0,3030.9,3718.95,556.4
2008,180.0,0.0,9358.5,4433.9,3024.7,3729.3,549.0
2009,180.0,0.0,5086.6,4404.6,3068.1,3736.35,226.20000000000002
2010,180.0,0.0,7732.5,4248.1,2908.8,3578.45,352.40000000000003
2011,180.0,0.0,7732.5,4578.3,3007.5,3792.9,325.2
2012,180.0,0.0,6835.8,4417.3,3072.4,3744.85,244.20000000000002
2013,180.0,0.0,5540.5,4675.9,3100.7,3888.3,386.1
2014,180.0,0.0,5540.5,4229.0,2989.5,3609.25,403.0
2015,180.0,0.0,6356.1,4438.8,2973.6,3706.2,318.40000000000003
2016,180.0,0.0,9328.6,4600.3,3088.1,3844.2,493.8
2017,180.0,0.0,8226.2,4472.5,2999.2,3735.85,497.6
1981,162.0,0.0,4553.8,4299.4,2975.7,3637.55,387.0
1982,162.0,0.0,9733.0,4054.6,2845.3,3449.95,544.3000000000001
1983,162.0,0.0,8792.9,4109.0,2947.7,3528.35,486.6
1984,162.0,0.0,9879.8,4250.8,2987.8,3619.3,447.3
1985,162.0,0.0,8263.2,4328.2,2999.7,3663.95,302.6
1986,162.0,0.0,9769.4,4214.8,2932.9,3573.85,372.90000000000003
1987,162.0,0.0,7783.4,4120.3,2879.9,3500.1,563.8000000000001
1988,162.0,0.0,6294.9,4400.1,2999.2,3699.65,260.40000000000003
1989,162.0,0.0,8630.7,4125.0,2912.6,3518.8,711.7
1990,162.0,0.0,8630.7,4360.1,2949.6,3654.85,333.1
1991,162.0,0.0,8315.6,4107.2,2931.9,3519.55,350.7
1992,162.0,0.0,8315.6,4266.5,2967.3,3616.9,388.6
1993,162.0,0.0,9427.0,4058.8,2898.2,3478.5,440.70000000000005
1994,162.0,0.0,5506.8,4422.0,3059.4,3740.7,306.70000000000005
1995,162.0,0.0,9856.2,4224.8,2970.1,3597.45,372.1
1996,162.0,0.0,6988.2,4105.7,2899.2,3502.45,252.10000000000002
1997,162.0,0.0,8085.7,4305.0,2892.3,3598.65,309.40000000000003
1998,162.0,0.0,10145.0,4404.6,3122.2,3763.4,577.0
1999,162.0,0.0,5675.0,4216.9,2943.2,3580.05,396.00000000000006
2000,162.0,0.0,6241.8,4279.1,3014.0,3646.55,442.1
2001,162.0,0.0,2506.2,4384.4,2933.9,3659.15,221.1
2002,162.0,0.0,8669.5,4313.9,2950.4,3632.15,339.6
2003,162.0,0.0,8669.5,4272.3,3020.0,3646.15,388.0
2004,162.0,0.0,2780.5,4341.6,2939.4,3640.5,266.0
2005,162.0,0.0,9960.9,4287.6,3009.6,3648.6,519.9
2006,162.0,0.0,9960.9,4665.9,3094.8,3880.35,205.4
2007,162.0,0.0,8889.7,4407.0,3030.9,3718.95,556.4
2008,162.0,0.0,9352.4,4433.9,3024.7,3729.3,549.0
2009,162.0,0.0,5049.7,4404.6,3068.1,3736.35,226.20000000000002
2010,162.0,0.0,7666.0,4248.1,2908.8,3578.45,352.40000000000003
2011,162.0,0.0,7666.0,4578.3,3007.5,3792.9,325.2
2012,162.0,0.0,6796.7,4417.3,3072.4,3744.85,244.20000000000002
2013,162.0,0.0,5510.6,4675.9,3100.7,3888.3,386.1
2014,162.0,0.0,5510.6,4229.0,2989.5,3609.25,403.0
2015,162.0,0.0,6312.6,4438.8,2973.6,3706.2,318.40000000000003
2016,162.0,0.0,9266.1,4600.3,3088.1,3844.2,493.8
2017,162.0,0.0,8134.6,4472.5,2999.2,3735.85,497.6
